,Method,Energy,Name,Basis Set
0,DMRG-CASCI,-55.90394136073347,ammonia,aug-cc-pVDZ
1,DMRG-CASCI,-55.90692002799962,ammonia,cc-pVDZ
2,DMRG-CASCI,-55.51992920382577,ammonia,STO-3G
3,DMRG-CASCI,-40.199729458051046,methane,aug-cc-pVDZ
4,DMRG-CASCI,-40.21169624561344,methane,cc-pVDZ
5,DMRG-CASCI,-39.806156527321406,methane,STO-3G
6,DMRG-CASCI,-77.77539693549173,ethylene,aug-cc-pVDZ
7,DMRG-CASCI,-78.07877367421011,ethylene,cc-pVDZ
8,DMRG-CASCI,-77.23503641940857,ethylene,STO-3G
9,DMRG-CASCI,-79.23714996562906,ethane,aug-cc-pVDZ
10,DMRG-CASCI,-79.26072092808093,ethane,cc-pVDZ
11,DMRG-CASCI,-78.45323100433104,ethane,STO-3G
12,DMRG-CASCI,-76.04098240845272,water,aug-cc-pVDZ
13,DMRG-CASCI,-76.03188419391606,water,cc-pVDZ
14,DMRG-CASCI,-75.00947866557675,water,STO-3G
15,DMRG-CASCI,-113.88484230100175,formaldehyde,aug-cc-pVDZ
16,DMRG-CASCI,-113.91428995586112,formaldehyde,cc-pVDZ
17,DMRG-CASCI,-112.50124997994554,formaldehyde,STO-3G
18,DMRG-CASCI,-115.06157905561912,methanol,aug-cc-pVDZ
19,DMRG-CASCI,-114.7492674525993,methanol,cc-pVDZ
20,DMRG-CASCI,-113.66260871391094,methanol,STO-3G
21,DMRG-CASCI,-336.8129128505468,fluoroform,aug-cc-pVDZ
22,DMRG-CASCI,-336.82619300609986,fluoroform,cc-pVDZ
23,DMRG-CASCI,-332.22567424757983,fluoroform,STO-3G
24,DMRG-CASCI,-154.7215595915568,"buta-1,3-diene",aug-cc-pVDZ
25,DMRG-CASCI,-155.01931398679363,"buta-1,3-diene",cc-pVDZ
26,DMRG-CASCI,-153.3232149222439,"buta-1,3-diene",STO-3G
27,DMRG-CASCI,-154.91817159376538,but-1-yne,aug-cc-pVDZ
28,DMRG-CASCI,-155.00666996433628,but-1-yne,cc-pVDZ
29,DMRG-CASCI,-153.32884827341948,but-1-yne,STO-3G
30,DMRG-CASCI,-191.95410765075624,prop-2-en-1-ol,aug-cc-pVDZ
31,DMRG-CASCI,-192.00141033127315,prop-2-en-1-ol,cc-pVDZ
32,DMRG-CASCI,-189.749395690991,prop-2-en-1-ol,STO-3G
33,DMRG-CASCI,-215.95055821433016,(Z)-1-fluoroprop-1-ene,aug-cc-pVDZ
34,DMRG-CASCI,-216.00110649492893,(Z)-1-fluoroprop-1-ene,cc-pVDZ
35,DMRG-CASCI,-213.36032595579235,(Z)-1-fluoroprop-1-ene,STO-3G
