
Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:04:41 2025
Timers Off: Fri Jun  6 11:32:54 2025

Wall Time:     1693.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | F->Wmbej                        :      0.000u      0.000s      0.003w     44 calls
| | E->Wmbej                        :      0.000u      0.000s      0.001w     44 calls
| | X->Wmbej                        :      0.000u      0.000s      0.001w     44 calls
| Z                                 :      0.000u      0.000s      0.000w     44 calls
| T2 Build                          :      0.000u      0.000s      0.010w     44 calls
| | BT2                             :      0.000u      0.000s      0.003w     44 calls
| | | ABCD:new                      :      0.000u      0.000s      0.002w     44 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     44 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     44 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.001w     44 calls
| | FT2                             :      0.000u      0.000s      0.001w     44 calls
| | WmbejT2                         :      0.000u      0.000s      0.002w     44 calls
| | CT2                             :      0.000u      0.000s      0.003w     44 calls
CIWave: CIvect write                :      0.000u      0.000s      0.002w    408 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.008w   3104 calls
CIWave: s2                          :      0.000u      0.000s      0.002w     52 calls
CIWave: s3                          :      0.033u      0.000s      0.009w     52 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      8 calls
CIWave: TPDM                        :      0.000u      0.000s      0.011w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      8 calls
| CIWave: TPDM Block                :      0.000u      0.000s      0.011w      4 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:32:58 2025
Timers Off: Fri Jun  6 11:34:37 2025

Wall Time:       98.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.033u      0.017s      0.032w      5 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.019w     74 calls
HF: Form core H                     :      0.017u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.017u      0.150s      0.040w      3 calls
SAD Guess                           :      0.017u      0.150s      0.039w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.000u      0.000s      0.000w     31 calls
PK computes JK                      :      0.000u      0.000s      0.000w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.000s      0.016w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
ccenergy                            :      0.017u      0.133s      0.100w      1 calls
F build                             :      0.000u      0.017s      0.001w     11 calls
Wmbej build                         :      0.000u      0.000s      0.001w     11 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
F->Wmbej                            :      0.000u      0.000s      0.001w     11 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
Z                                   :      0.000u      0.000s      0.000w     11 calls
T2 Build                            :      0.000u      0.017s      0.003w     11 calls
BT2                                 :      0.000u      0.000s      0.001w     11 calls
ABCD:new                            :      0.000u      0.000s      0.001w     11 calls
ABCD:S                              :      0.000u      0.000s      0.000w     11 calls
ABCD:A                              :      0.000u      0.000s      0.000w     11 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     11 calls
FT2                                 :      0.000u      0.000s      0.000w     11 calls
WmbejT2                             :      0.000u      0.000s      0.000w     11 calls
CT2                                 :      0.000u      0.000s      0.001w     11 calls
CIWave: CIvect write                :      0.000u      0.017s      0.003w    594 calls
CIWave: CIvect read                 :      0.033u      0.000s      0.010w   4113 calls
CIWave: s2                          :      0.000u      0.000s      0.003w     76 calls
CIWave: s3                          :      0.000u      0.000s      0.013w     76 calls
CIWave: MCSCF integral transform    :      0.000u      0.033s      0.016w      6 calls
CIWave: opdm                        :      0.000u      0.000s      0.001w      6 calls
CIWave: TPDM                        :      0.050u      0.000s      0.017w      6 calls
CIWave: TPDM Block                  :      0.050u      0.000s      0.017w      6 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.000w      6 calls
SOMCSCF: Compute Gradient           :      0.000u      0.000s      0.002w      4 calls
SOMCSCF: Q matrix                   :      0.000u      0.000s      0.002w      4 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.033u      0.017s      0.032w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     65 calls
HF: Form core H                     :      0.017u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.017u      0.150s      0.040w      3 calls
| SAD Guess                         :      0.017u      0.150s      0.039w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.000w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.000s      0.016w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      7 calls
ccenergy                            :      0.017u      0.133s      0.100w      1 calls
| F build                           :      0.000u      0.017s      0.001w     11 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     11 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | F->Wmbej                        :      0.000u      0.000s      0.001w     11 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| Z                                 :      0.000u      0.000s      0.000w     11 calls
| T2 Build                          :      0.000u      0.017s      0.003w     11 calls
| | BT2                             :      0.000u      0.000s      0.001w     11 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     11 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     11 calls
| | FT2                             :      0.000u      0.000s      0.000w     11 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     11 calls
| | CT2                             :      0.000u      0.000s      0.001w     11 calls
CIWave: CIvect write                :      0.000u      0.017s      0.003w    594 calls
CIWave: CIvect read                 :      0.033u      0.000s      0.010w   4089 calls
CIWave: s2                          :      0.000u      0.000s      0.003w     76 calls
CIWave: s3                          :      0.000u      0.000s      0.013w     76 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
| PK computes JK                    :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
CIWave: MCSCF integral transform    :      0.000u      0.033s      0.016w      6 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.000w      7 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
CIWave: opdm                        :      0.000u      0.000s      0.001w      6 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     12 calls
CIWave: TPDM                        :      0.050u      0.000s      0.017w      6 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     12 calls
| CIWave: TPDM Block                :      0.050u      0.000s      0.017w      6 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.000w      6 calls
SOMCSCF: Compute Gradient           :      0.000u      0.000s      0.002w      5 calls
| JK: D                             :      0.000u      0.000s      0.000w      5 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      5 calls
| JK: JK                            :      0.000u      0.000s      0.000w      5 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      5 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      5 calls
| SOMCSCF: Q matrix                 :      0.000u      0.000s      0.002w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:34:40 2025
Timers Off: Fri Jun  6 11:34:55 2025

Wall Time:       14.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.050u      0.000s      0.013w      4 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w     55 calls
HF: Form core H                     :      0.000u      0.033s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.117s      0.038w      3 calls
SAD Guess                           :      0.017u      0.117s      0.037w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     29 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     29 calls
JK: JK                              :      0.000u      0.000s      0.000w     29 calls
PK computes JK                      :      0.000u      0.000s      0.000w     29 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.033s      0.017w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
ccenergy                            :      0.017u      0.133s      0.094w      1 calls
F build                             :      0.000u      0.000s      0.001w     11 calls
Wmbej build                         :      0.000u      0.000s      0.001w     11 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
F->Wmbej                            :      0.000u      0.000s      0.001w     11 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
Z                                   :      0.000u      0.000s      0.000w     11 calls
T2 Build                            :      0.017u      0.000s      0.003w     11 calls
BT2                                 :      0.017u      0.000s      0.001w     11 calls
ABCD:new                            :      0.017u      0.000s      0.001w     11 calls
ABCD:S                              :      0.000u      0.000s      0.000w     11 calls
ABCD:A                              :      0.000u      0.000s      0.000w     11 calls
ABCD:axpy                           :      0.017u      0.000s      0.000w     11 calls
FT2                                 :      0.000u      0.000s      0.000w     11 calls
WmbejT2                             :      0.000u      0.000s      0.000w     11 calls
CT2                                 :      0.000u      0.000s      0.001w     11 calls
CIWave: MCSCF integral transform    :      0.000u      0.050s      0.013w      5 calls
CIWave: CIvect write                :      0.000u      0.000s      0.002w    446 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.008w   3195 calls
CIWave: s2                          :      0.017u      0.000s      0.002w     57 calls
CIWave: s3                          :      0.033u      0.000s      0.010w     57 calls
CIWave: opdm                        :      0.000u      0.017s      0.001w      5 calls
CIWave: TPDM                        :      0.017u      0.000s      0.014w      5 calls
CIWave: TPDM Block                  :      0.017u      0.000s      0.014w      5 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.000w      5 calls
SOMCSCF: Compute Gradient           :      0.000u      0.000s      0.002w      4 calls
SOMCSCF: Q matrix                   :      0.000u      0.000s      0.002w      4 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.050u      0.000s      0.013w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w     52 calls
HF: Form core H                     :      0.000u      0.033s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.117s      0.038w      3 calls
| SAD Guess                         :      0.017u      0.117s      0.037w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.000w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.033s      0.017w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.017u      0.133s      0.094w      1 calls
| F build                           :      0.000u      0.000s      0.001w     11 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     11 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | F->Wmbej                        :      0.000u      0.000s      0.001w     11 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| Z                                 :      0.000u      0.000s      0.000w     11 calls
| T2 Build                          :      0.017u      0.000s      0.003w     11 calls
| | BT2                             :      0.017u      0.000s      0.001w     11 calls
| | | ABCD:new                      :      0.017u      0.000s      0.001w     11 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:axpy                   :      0.017u      0.000s      0.000w     11 calls
| | FT2                             :      0.000u      0.000s      0.000w     11 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     11 calls
| | CT2                             :      0.000u      0.000s      0.001w     11 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
| PK computes JK                    :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
CIWave: MCSCF integral transform    :      0.000u      0.050s      0.013w      5 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.000u      0.000s      0.000w      6 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      6 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.002w    446 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.008w   3175 calls
CIWave: s2                          :      0.017u      0.000s      0.002w     57 calls
CIWave: s3                          :      0.033u      0.000s      0.010w     57 calls
CIWave: opdm                        :      0.000u      0.017s      0.001w      5 calls
| CIWave: CIvect read               :      0.000u      0.017s      0.000w     10 calls
CIWave: TPDM                        :      0.017u      0.000s      0.014w      5 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     10 calls
| CIWave: TPDM Block                :      0.017u      0.000s      0.014w      5 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.000w      5 calls
SOMCSCF: Compute Gradient           :      0.000u      0.000s      0.002w      4 calls
| JK: D                             :      0.000u      0.000s      0.000w      4 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      4 calls
| JK: JK                            :      0.000u      0.000s      0.000w      4 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      4 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      4 calls
| SOMCSCF: Q matrix                 :      0.000u      0.000s      0.002w      4 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:34:59 2025
Timers Off: Fri Jun  6 11:35:13 2025

Wall Time:       14.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.050u      0.000s      0.014w      4 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w     55 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.133s      0.040w      3 calls
SAD Guess                           :      0.033u      0.133s      0.038w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     33 calls
JK: JK                              :      0.000u      0.000s      0.000w     33 calls
PK computes JK                      :      0.000u      0.000s      0.000w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.033u      0.017s      0.017w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
ccenergy                            :      0.033u      0.133s      0.095w      1 calls
F build                             :      0.000u      0.000s      0.001w     11 calls
Wmbej build                         :      0.000u      0.000s      0.001w     11 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
F->Wmbej                            :      0.000u      0.000s      0.001w     11 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     11 calls
Z                                   :      0.000u      0.000s      0.000w     11 calls
T2 Build                            :      0.000u      0.000s      0.003w     11 calls
BT2                                 :      0.000u      0.000s      0.001w     11 calls
ABCD:new                            :      0.000u      0.000s      0.001w     11 calls
ABCD:S                              :      0.000u      0.000s      0.000w     11 calls
ABCD:A                              :      0.000u      0.000s      0.000w     11 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     11 calls
FT2                                 :      0.000u      0.000s      0.000w     11 calls
WmbejT2                             :      0.000u      0.000s      0.000w     11 calls
CT2                                 :      0.000u      0.000s      0.001w     11 calls
CIWave: MCSCF integral transform    :      0.017u      0.017s      0.021w      8 calls
CIWave: CIvect write                :      0.000u      0.000s      0.003w    528 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.007w   3043 calls
CIWave: s2                          :      0.000u      0.000s      0.003w     68 calls
CIWave: s3                          :      0.000u      0.000s      0.012w     68 calls
CIWave: opdm                        :      0.000u      0.000s      0.001w      8 calls
CIWave: TPDM                        :      0.067u      0.000s      0.024w      8 calls
CIWave: TPDM Block                  :      0.067u      0.000s      0.024w      8 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.000w      8 calls
SOMCSCF: Compute Gradient           :      0.017u      0.000s      0.006w      7 calls
SOMCSCF: Q matrix                   :      0.017u      0.000s      0.005w      7 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.050u      0.000s      0.014w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w     52 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.133s      0.040w      3 calls
| SAD Guess                         :      0.033u      0.133s      0.038w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.000w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.033u      0.017s      0.017w     15 calls
HF: Form C                          :      0.000u      0.000s      0.001w     15 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.033u      0.133s      0.095w      1 calls
| F build                           :      0.000u      0.000s      0.001w     11 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     11 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | F->Wmbej                        :      0.000u      0.000s      0.001w     11 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     11 calls
| Z                                 :      0.000u      0.000s      0.000w     11 calls
| T2 Build                          :      0.000u      0.000s      0.003w     11 calls
| | BT2                             :      0.000u      0.000s      0.001w     11 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     11 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     11 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     11 calls
| | FT2                             :      0.000u      0.000s      0.000w     11 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     11 calls
| | CT2                             :      0.000u      0.000s      0.001w     11 calls
CIWave: MCSCF integral transform    :      0.017u      0.017s      0.021w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.000w      8 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
CIWave: CIvect write                :      0.000u      0.000s      0.003w    528 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.007w   3011 calls
CIWave: s2                          :      0.000u      0.000s      0.003w     68 calls
CIWave: s3                          :      0.000u      0.000s      0.012w     68 calls
CIWave: opdm                        :      0.000u      0.000s      0.001w      8 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     16 calls
CIWave: TPDM                        :      0.067u      0.000s      0.024w      8 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     16 calls
| CIWave: TPDM Block                :      0.067u      0.000s      0.024w      8 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.000w      8 calls
SOMCSCF: Compute Gradient           :      0.017u      0.000s      0.006w      7 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.000w      7 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
| SOMCSCF: Q matrix                 :      0.017u      0.000s      0.005w      7 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:35:17 2025
Timers Off: Fri Jun  6 12:14:11 2025

Wall Time:     2334.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.233u      0.067s      0.081w     22 calls
Libint2ERI::Libint2ERI              :      0.083u      0.017s      0.041w    309 calls
HF: Form core H                     :      0.017u      0.067s      0.037w     22 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     22 calls
HF: Guess                           :      0.267u      1.033s      0.309w     22 calls
SAD Guess                           :      0.267u      1.033s      0.300w     22 calls
HF: Form G                          :      0.017u      0.000s      0.002w    132 calls
JK: D                               :      0.000u      0.000s      0.000w    132 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    132 calls
JK: JK                              :      0.017u      0.000s      0.001w    132 calls
PK computes JK                      :      0.000u      0.000s      0.001w    132 calls
